Kingdom,Phylum,Class,Order,Family,Genus,Species,Control,Mock,Sample,ASV,contam_phy,contam_harsh
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0,0.000223018328658804,ASV_0867,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0,0.000325823408444175,ASV_0868,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_1,Bacillus,coagulans,0,0,0.00023654285259492,ASV_0869,FALSE,FALSE
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,0,0,0.000331082684324771,ASV_0870,FALSE,FALSE
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,Genus_Parasutterella,0,0,0.000241860926292802,ASV_0871,FALSE,FALSE
Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,dispar/parvula/tobetsuensis,0,0,0.000205476446690702,ASV_0872,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0,0.000240422362948606,ASV_0873,FALSE,FALSE
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Family_Erysipelotrichaceae,Family_Erysipelotrichaceae,0,0,0.0002236050018465,ASV_0874,FALSE,FALSE
Bacteria,Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,Phylum_Firmicutes,0,0,0.000327401042306482,ASV_0875,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Genus_Bacteroides,0,0,0.000225552867019305,ASV_0876,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_1,Family_Bacillaceae_1,Family_Bacillaceae_1,0,0.0075640104383344,0,ASV_0877,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Genus_Blautia,0,0,0.000353470190054337,ASV_0878,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Order_Clostridiales,Order_Clostridiales,Order_Clostridiales,0,0,0.000268033505235226,ASV_0879,FALSE,FALSE
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylorubrum,Genus_Methylorubrum,0,0,0.000757081694042982,ASV_0880,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Order_Clostridiales,Order_Clostridiales,Order_Clostridiales,0,0,0.000387953108043462,ASV_0881,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,hydrogenalis/obesiensis/senegalensis/vaginalis,0,0.00384177219791851,0.000179714682024936,ASV_0882,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,Brevibacillus,agri/brevis/invocatus/thermoruber,0,0,0.00021472357535907,ASV_0883,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0,0,0.000265516929937453,ASV_0884,FALSE,FALSE
Bacteria,Actinobacteria,Coriobacteriia,Class_Coriobacteriia,Class_Coriobacteriia,Class_Coriobacteriia,Class_Coriobacteriia,0,0,0.000176008235091423,ASV_0885,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0,0.000328938857102624,ASV_0886,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0,0,0.000263887787868145,ASV_0887,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0,0.000237987552694026,ASV_0888,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Beduinibacterium,Genus_Beduinibacterium,0,0,0.000285128815445564,ASV_0889,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_1,Bacillus,circulans/thermoamylovorans,0,0,0.000232237321162407,ASV_0890,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0,0.000541536536901216,ASV_0891,FALSE,FALSE
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Genus_Bifidobacterium,0,0,0.000181644798441923,ASV_0892,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Paludicola,Genus_Paludicola,0,0,0.000155913212291348,ASV_0893,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Order_Clostridiales,Order_Clostridiales,Order_Clostridiales,0,0,0.000470788192225546,ASV_0894,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0,0.000241722276888737,ASV_0895,FALSE,FALSE
Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Corynebacterium,falsenii,0,0,0.000211581524228459,ASV_0896,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellamassilia,Genus_Prevotellamassilia,0,0,0.000219474189026441,ASV_0897,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Family_Ruminococcaceae,Family_Ruminococcaceae,0,0,0.000200743084310503,ASV_0898,FALSE,FALSE
Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,ratti/seminalis,0,0,0.00026696648915741,ASV_0899,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0,0,0.000179270855622325,ASV_0900,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,Genus_Enterocloster,0,0,0.000178287489825356,ASV_0901,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoanaerobaculum,Genus_Lachnoanaerobaculum,0,0,0.000219877569133178,ASV_0902,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Beduinibacterium,Genus_Beduinibacterium,0,0,0.000257149794079271,ASV_0903,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Harryflintia,Genus_Harryflintia,0,0,0.000192925758104338,ASV_0904,FALSE,FALSE
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,echinoides/fennica/haloaromaticamans/laterariae/parapaucimobilis/paucimobilis/pseudosanguinis/roseiflava/sanguinis/wittichii/yabuuchiae,0,0,0.000450617001386374,ASV_0905,FALSE,FALSE
