"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"76","ASV_0283",0.00198269852988622,0.00561764583467764,-2.39218042055172,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter","valericigenes"
"77","ASV_0290",0.000204650429354386,0.00090758016496293,2.51894239012529,"d8>d0","t-test - ALR (tta)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella","Genus_Escherichia/Shigella"
"78","ASV_0294",0.00749728738664052,0.0147761850288093,-2.33803459898153,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia","Genus_Marvinbryantia"
"79","ASV_0308",6.91582009930751e-06,5.87844708441138e-05,-3.44010100939927,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus","Genus_Amedibacillus"
"81","ASV_0326",4.03581640455963e-05,0.000216659617507938,-2.84570533751547,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Genus_Lactobacillus"
"82","ASV_0330",0.017369171897161,0.0316367059555432,-1.49259102601513,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Colidextribacter","Genus_Colidextribacter"
"87","ASV_0385",0.00290832787928934,0.00721835679024455,-2.03931924509874,"d0>d8","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruthenibacterium","Genus_Ruthenibacterium"
"89","ASV_0391",0.0022439994126396,0.00586892154074972,2.63698358251676,"d8>d0","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Genus_Agathobaculum"
"91","ASV_0398",0.00297226456068893,0.00721835679024455,2.26769395500974,"d8>d0","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor","Genus_Acetatifactor"
"93","ASV_0404",0.00317079600888663,0.00752142309084736,-1.80725584450043,"d0>d8","t-test - ALR (tta)","Bacteria","Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria","Phylum_Actinobacteria"
